vendor,product,version,date,url
others,pbe-5ac-400,35708,9/29/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.0/WA.v8.4.0.35708.170929.1512.bin
others,pbe-5ac-400,32951,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.2/WA.v8.1.2.32951.170302.1840.bin
others,pbe-5ac-400,37936,5/25/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.4/WA.v8.5.4.37936.180524.1215.bin
others,pbe-5ac-400,38314,6/28/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.7/WA.v8.5.7.38314.180628.1036.bin
others,pbe-5ac-400,35333,9/1/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3.2/WA.v8.3.2.35333.170901.1549.bin
others,pbe-5ac-400,33366,3/27/17,https://www.ui.com/downloads/firmwares/XC-fw/v7.2.5/WA.v7.2.5.33366.170328.1556.bin
others,pbe-5ac-400,36160,11/17/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.3/WA.v8.4.3.36160.171117.1234.bin
others,pbe-5ac-400,34481,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.4/WA.v8.1.4.34481.170608.1729.bin
others,pbe-5ac-400,38845,9/19/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.8/WA.v8.5.8.38845.180918.1016.bin
others,pbe-5ac-400,39842,1/11/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.11/WA.v8.5.11.39842.190109.1449.bin
others,pbe-5ac-400,40181,2/14/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.12/WA.v8.5.12.40181.190213.1104.bin
