vendor,product,version,date,url
others,uvc-g3,unknown,11/28/16,https://www.ui.com/downloads/firmwares/uvc-fw/3.5.2/UVC.gen3l.v3.5.2.63.5d0239d.161121.1716.bin
others,uvc-g3,unknown,5/17/17,https://www.ui.com/downloads/firmwares/uvc-fw/3.7.0/UVC.gen3l.v3.7.0.68.79d0469.170517.1852.bin
others,uvc-g3,unknown,9/18/17,https://www.ui.com/downloads/firmwares/uvc/v3.8.3/uvc.gen3l.v3.8.3.bin
others,uvc-g3,unknown,1/4/18,https://www.ui.com/downloads/firmwares/uvc/v4.1.55/uvc.s2l.v4.1.55.bin
others,uvc-g3,unknown,2/22/18,https://www.ui.com/downloads/firmwares/uvc/v4.2.13/uvc.s2l.v4.2.13.bin
others,uvc-g3,unknown,4/17/18,https://www.ui.com/downloads/firmwares/uvc/v4.2.59/uvc.s2l.v4.2.59.bin
others,uvc-g3,unknown,6/20/18,https://www.ui.com/downloads/firmwares/uvc/v4.4.6/uvc.s2l.v4.4.6.bin
others,uvc-g3,unknown,8/23/18,https://www.ui.com/downloads/firmwares/uvc/v4.4.7/uvc.s2l.v4.4.7.bin
others,uvc-g3,unknown,4/1/19,https://www.ui.com/downloads/firmwares/uvc/v4.10.12/uvc.s2l.v4.10.12.bin
others,uvc-g3,unknown,6/12/19,https://www.ui.com/downloads/firmwares/uvc/v4.13.40/uvc.s2l.v4.13.40.bin
others,uvc-g3,unknown,10/17/17,https://www.ui.com/downloads/firmwares/uvc/v3.8.61/uvc.gen3l.v3.8.61.bin
