vendor,product,version,date,url
ubiquiti,rm2-ti,33033,7/5/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.2.0/TI.v6.2.0.33033.190703.1047.bin
ubiquiti,rm2-ti,33226,4/30/20,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.0/TI.v6.3.0.33226.200428.1749.bin
others,rm2-ti,31601,9/8/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.7/XW.v6.0.7.31601.170908.1232.bin
others,rm2-ti,31296,7/5/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.6/XW.v6.0.6.31296.170704.2042.bin
others,rm2-ti,31939,11/17/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.3/XW.v6.1.3.31939.171117.1223.bin
others,rm2-ti,32113,1/19/18,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.4/XW.v6.1.4.32113.180112.0918.bin
others,rm2-ti,31626,3/29/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.3/XW.v6.0.3.30600.170329.1817.bin
others,rm2-ti,31825,10/17/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.2/XW.v6.1.2.31825.171017.1633.bin
others,rm2-ti,31612,3/27/17,https://www.ui.com/downloads/firmwares/XW-fw/v5.6.15/XW.v5.6.15.30572.170328.1052.bin
others,rm2-ti,unknown,10/5/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.1/XW.v6.1.1.31776.171006.1138.bin
others,rm2-ti,30572,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/TI.v5.6.15.30572.170328.1038.bin
others,rm2-ti,32290,3/8/18,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.6/XW.v6.1.6.32290.180307.1635.bin
others,rm2-ti,32918,1/11/19,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.9/XW.v6.1.9.32918.190108.1737.bin
others,rm2-ti,32918,1/11/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.9/TI.v6.1.9.32918.190108.1723.bin
others,rm2-ti,32949,3/29/19,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.11/XW.v6.1.11.32949.190328.1111.bin
others,rm2-ti,32949,3/29/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.11/TI.v6.1.11.32949.190328.1056.bin
others,rm2-ti,33003,5/24/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.12/TI.v6.1.12.33003.190523.1224.bin
others,rm2-ti,33003,5/24/19,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.12/XW.v6.1.12.33003.190523.1253.bin
others,rm2-ti,32555,5/25/18,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.7/XW.v6.1.7.32555.180523.1754.bin
others,rm2-ti,32774,9/26/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.8/TI.v6.1.8.32774.180921.1503.bin
others,rm2-ti,31626,3/30/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/TI.v6.0.3-sign.31626.170908.1528.bin
others,rm2-ti,31741,9/29/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.0/XW.v6.1.0.31741.170929.1213.bin
others,rm2-ti,31612,3/28/17,https://www.ui.com/downloads/firmwares/XW-fw/v5.6.15/XW.v5.6.15-sign.31612.170908.1440.bin
others,rm2-ti,31626,3/30/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.3/XW.v6.0.3-sign.31626.170908.1544.bin
others,rm2-ti,31296,7/5/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.6/TI.v6.0.6.31296.170704.2027.bin
others,rm2-ti,31825,10/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.2/TI.v6.1.2.31825.171017.1618.bin
others,rm2-ti,31626,3/29/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/TI.v6.0.3.30600.170329.1803.bin
others,rm2-ti,31601,9/8/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.7/TI.v6.0.7.31601.170908.1216.bin
others,rm2-ti,31939,11/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.3/TI.v6.1.3.31939.171117.1209.bin
others,rm2-ti,32113,1/19/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.4/TI.v6.1.4.32113.180112.0903.bin
others,rm2-ti,31776,10/13/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.1/TI.v6.1.1.31776.171010.0919.bin
others,rm2-ti,31612,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/TI.v5.6.15-sign.31612.170908.1423.bin
